message,label
tree branch fell on car,emergency
"heard a loud crash outside, sounds serious",emergency
appreciation for the teacher,non-emergency
need help with a flat tire,non-emergency
"booked a trip to Hawaii, excited!",non-emergency
"lost my house keys, cant get inside",emergency
cant find my cat,non-emergency
received a strange charge on my rent bill,non-emergency
water pressure is very low,non-emergency
found a set of keys in the lobby,non-emergency
fire in the kitchen,emergency
reminder for lease agreement update,non-emergency
the neighbors are playing loud music again,non-emergency
carbon monoxide detector is beeping,emergency
lost my key in the park,non-emergency
dishwasher not draining,emergency
request to repaint living room,non-emergency
water leak under the sink,emergency
"the balcony door wont lock, security issue",emergency
lost electricity in the middle of cooking dinner,emergency
air conditioning unit not working,emergency
happy anniversary!,non-emergency
Do you have Internet?,non-emergency
flood in the basement after the rain,emergency
booked a vacation!,non-emergency
appreciation post for the maintenance team,non-emergency
saw someone suspicious loitering in the parking lot,emergency
the front gate won’t open with my code,non-emergency
kitchen sink is clogged,emergency
AC unit is making a strange noise,non-emergency
need the number for maintenance,non-emergency
update contact information request,non-emergency
power outage in my neighborhood,non-emergency
water pooling on the bathroom floor,emergency
loud noises coming from upstairs,non-emergency
tree fell and blocked the driveway,emergency
traffic jam on the highway,emergency
happy birthday!,non-emergency
bank statement looks suspicious,non-emergency
broken window lock,emergency
no hot water in shower,emergency
the fridge stopped working overnight,emergency
"found a lost wallet, DM for details",non-emergency
"elevator stuck, please send help",emergency
compliments for the new paint job,non-emergency
water leaking from ceiling,emergency
ceiling leak in living room,emergency
dispute over parking space with neighbor,non-emergency
"feeling unwell, need medical attention",emergency
"overwhelmed with work, need a break",non-emergency
heating system not working,emergency
new gym equipment installed,non-emergency
someone broke into the mailroom,emergency
parking lot resurfacing update,non-emergency
power outage in my apartment,non-emergency
What is the password for Wifi?,non-emergency
broken window from the storm last night,emergency
faucet is leaking,emergency
mold spotted on the bathroom ceiling,emergency
compliments for the delivery guy,non-emergency
"feeling overwhelmed, need to talk",non-emergency
smoke alarm won't stop beeping,emergency
the air conditioner has broken down in the heatwave,emergency
routine pest control service,non-emergency
broken elevator,emergency
loud party noises at 3 AM,non-emergency
noise complaint from neighbor,non-emergency
"leaking ceiling in the living room, water everywhere",emergency
"lost phone, please contact if found",non-emergency
fire detected in basement,emergency
argument with a neighbor,non-emergency
scheduled property inspection,non-emergency
planned power outage notice,non-emergency
internet connection is down,non-emergency
package delivered to front office,non-emergency
craving sushi tonight,non-emergency
"gas smell in the building, seems like a leak",emergency
smoke detector keeps beeping,emergency
"received my deposit refund, thank you",non-emergency
can't access the online rent payment system,non-emergency
congratulations on your promotion!,non-emergency
friendly reminder about rent due,non-emergency
"got the job promotion, lets celebrate!",non-emergency
craving pizza for dinner,non-emergency
overflowing toilet,emergency
suspicious activity outside my window,emergency
water pressure is too low to shower,non-emergency
garbage disposal not working,emergency
What's the door lock?, non-emergency
smoke coming from the oven,emergency
lost mailbox key,non-emergency
car accident on Main Street,emergency
"alarm keeps going off, cant figure out why",non-emergency
internet connection is down again,non-emergency
suspicious person in parking lot,emergency
"rat sightings in the kitchen, need extermination",emergency
annual lease renewal reminder,non-emergency
the air conditioner isn't working,emergency
neighbors are being too loud at night,non-emergency
smell gas in the kitchen,emergency
looking for a pet-friendly apartment,non-emergency
the refrigerator is leaking water,emergency
need help setting up the Wi-Fi,non-emergency
there's a strange odor in the bathroom,non-emergency
fire alarm keeps beeping,emergency
want to extend my lease,non-emergency
security camera not working properly,non-emergency
can't get the heater to turn on,emergency
thinking about upgrading the kitchen appliances,non-emergency
noticed a leak in the ceiling,emergency
requesting a copy of the lease agreement,non-emergency
experiencing mold in the bathroom,emergency
wondering if utilities are included in the rent,non-emergency
need help with garbage disposal maintenance,non-emergency
locked out of the apartment,emergency
requesting permission to paint the walls,non-emergency
suspicious activity near the building,emergency
looking for parking options for guests,non-emergency
apartment showing signs of pest infestation,emergency
inquiring about renter's insurance coverage,non-emergency
power outage in the building,emergency
interested in renewing the lease for another year,non-emergency
broken window in the living room,emergency
asking about recycling guidelines,non-emergency
smoke detector going off randomly,emergency
want to discuss noise complaints with neighbors,non-emergency
plumbing issue causing water damage,emergency
thinking of installing security cameras,non-emergency
requesting a rent increase justification,non-emergency
need assistance with setting up mail forwarding,non-emergency
elevator malfunctioning,emergency
requesting maintenance for a broken dishwasher,non-emergency
exploring options for lease termination,non-emergency
spotted a suspicious package outside the building,emergency
requesting early check-in arrangements,non-emergency
unable to locate the property's Wi-Fi password,non-emergency
need assistance with luggage storage options,non-emergency
the dishwasher is not working properly,emergency
inquiring about nearby grocery stores and restaurants,non-emergency
experiencing issues with the TV remote,non-emergency
asking for local transportation recommendations,non-emergency
noticed a leaky faucet in the bathroom,emergency
requesting extra blankets and pillows,non-emergency
concerned about security measures in the building,emergency
asking for a late checkout option,non-emergency
looking for pet-friendly accommodations,non-emergency
fire alarm going off due to cooking smoke,emergency
inquiring about laundry facilities,non-emergency
experiencing noisy neighbors late at night,emergency
requesting restaurant delivery options,non-emergency
noticing a strange odor in the bedroom,emergency
asking about parking availability,non-emergency
concerned about cleanliness and sanitation standards,emergency
inquiring about child-friendly amenities,non-emergency
need assistance with booking local tours or activities,non-emergency
wondering about the property's cancellation policy,non-emergency
experiencing difficulties with the keyless entry system,emergency
requesting additional cleaning during the stay,non-emergency
concerned about allergen-free accommodation options,non-emergency
inquiring about the property's smoking policy,non-emergency
noticing a malfunctioning air conditioning unit,emergency
asking for recommendations for nearby attractions,non-emergency
experiencing Wi-Fi connectivity issues,emergency
requesting assistance with luggage transportation,non-emergency
concerned about accessibility features for elderly guests,non-emergency
requesting information about the nearest public transportation options,non-emergency
experiencing a power outage in the unit,emergency
inquiring about wheelchair-accessible accommodations,non-emergency
asking for assistance with arranging airport transportation,non-emergency
noticing a malfunctioning smoke detector,emergency
requesting recommendations for pet-friendly parks,non-emergency
concerned about noise levels from construction nearby,emergency
inquiring about early luggage drop-off options,non-emergency
asking for directions to the nearest pharmacy,non-emergency
noticing a leak in the ceiling during heavy rain,emergency
requesting information about local pet grooming services,non-emergency
concerned about the presence of allergens in the property,emergency
inquiring about the property's recycling policies,non-emergency
asking for assistance with using the in-room entertainment system,non-emergency
noticing a broken window lock,emergency
requesting information about the property's security measures,non-emergency
concerned about the property's fire safety procedures,emergency
inquiring about late-night food delivery options,non-emergency
asking for recommendations for family-friendly attractions,non-emergency
noticing a foul odor coming from the kitchen sink,emergency
requesting information about nearby hiking trails,non-emergency
concerned about the cleanliness of the linens,emergency
inquiring about the property's policy on hosting events,non-emergency
asking for assistance with using the thermostat,non-emergency
noticing a malfunctioning elevator,emergency
requesting information about local cultural events,non-emergency
concerned about the property's accessibility for guests with disabilities,emergency
inquiring about bicycle rental options in the area,non-emergency
asking for assistance with arranging a private chef,non-emergency
noticing a strange noise coming from the HVAC system,emergency
requesting information about nearby beach access,non-emergency
concerned about the property's policy on noise disturbances,emergency
Hi there! Can you provide a list of nearby dog-friendly restaurants?,non-emergency
I'm having trouble connecting to the Wi-Fi. Can you assist me?,non-emergency
Is there a gym or fitness center available on the property?,non-emergency
Could you recommend some local attractions for sightseeing?,non-emergency
I think there's a gas leak in the kitchen. It smells unusual.,emergency
I need some extra towels and toiletries. Can they be delivered?,non-emergency
The air conditioning unit seems to be making a lot of noise. Is it okay?,emergency
Can you help me find a reliable taxi service for airport transfers?,non-emergency
Is there a grocery store within walking distance?,non-emergency
There's a water leak in the bathroom. It's getting worse.,emergency
I'm interested in booking a tour. Do you have any recommendations?,non-emergency
The heating system isn't working. It's quite cold in here.,emergency
Is there a designated parking spot for my rental car?,non-emergency
Can you arrange for a late check-out? I have a late flight.,non-emergency
I noticed some mold in the shower. Can it be cleaned?,emergency
Could you provide information about public transportation options?,non-emergency
The fire alarm keeps beeping. Is there a problem with it?,emergency
Can you recommend a good place for breakfast nearby?,non-emergency
I locked myself out of the apartment. Can you send someone to help?,emergency
Is there a policy regarding noise levels at night?,non-emergency
The refrigerator is not cooling properly. Some of my food went bad.,emergency
